EmployeeID,Name,Age,Gender,City,Department,Salary,Experience,JoiningYear,PerformanceScore
44,Employee_44,25.0,Female,Delhi,Data Platform,66560.0,1,2025,4.3
45,Employee_45,40.0,Male,Bangalore,Data Platform,140208.0,18,2008,2.7
46,Employee_46,31.0,Male,Pune,Engineering,98655.0,8,2018,4.5
47,Employee_47,26.0,Male,Bangalore,Operations,58919.0,2,2024,4.2
48,Employee_48,40.0,Non-Binary,Bangalore,Product,122907.0,17,2009,4.6
49,Employee_49,36.0,Female,Bangalore,Product,93004.0,12,2014,2.7
50,Employee_50,30.0,Female,Mumbai,Engineering,99987.0,8,2018,4.9
51,Employee_51,42.0,Male,Bangalore,Security,132867.0,19,2007,2.7
52,Employee_52,31.0,Female,Hyderabad,Engineering,97931.0,9,2017,2.6
53,Employee_53,38.0,Male,Mumbai,Operations,112672.0,16,2010,3.2
54,Employee_54,26.0,Female,Pune,Operations,60147.0,3,2023,3.4
55,Employee_55,27.0,Male,Bangalore,Security,76310.0,5,2021,3.3
56,Employee_56,40.0,Male,Bangalore,Operations,115484.0,16,2010,3.4
57,Employee_57,29.0,Male,Pune,Product,67849.0,5,2021,2.5
58,Employee_58,37.0,Female,Mumbai,Operations,101611.0,13,2013,4.9
59,Employee_59,36.0,Female,Pune,Operations,99833.0,12,2014,4.1
60,Employee_60,26.0,Female,Mumbai,Product,62536.0,3,2023,3.0
61,Employee_61,43.0,Male,Bangalore,Engineering,144945.0,19,2007,3.3
62,Employee_62,24.0,Female,Mumbai,Data Platform,71306.0,2,2024,3.7
63,Employee_63,26.0,Female,Bangalore,Data Platform,71728.0,4,2022,4.9
64,Employee_64,26.0,Female,Mumbai,Data Platform,68122.0,3,2023,3.1
65,Employee_65,36.0,Female,Delhi,Data Platform,106440.0,12,2014,4.4
66,Employee_66,42.0,Female,Bangalore,Security,139191.0,20,2006,3.3
67,Employee_67,31.0,Male,Mumbai,Operations,89082.0,9,2017,3.3
68,Employee_68,37.0,Female,Hyderabad,Operations,113335.0,15,2011,2.7
69,Employee_69,40.0,Male,Mumbai,Data Platform,129808.0,16,2010,2.7
70,Employee_70,29.0,Female,Bangalore,Product,72330.0,5,2021,3.9
71,Employee_71,34.0,Female,Hyderabad,Security,100056.0,12,2014,4.6
72,Employee_72,24.0,Male,Bangalore,Product,54540.0,2,2024,2.7
73,Employee_73,44.0,Male,Mumbai,Operations,134872.0,20,2006,4.8
74,Employee_74,42.0,Female,Mumbai,Data Platform,137588.0,19,2007,4.3
75,Employee_75,36.0,Male,Bangalore,Engineering,116748.0,13,2013,3.7
76,Employee_76,31.0,Male,Bangalore,Engineering,106150.0,9,2017,4.2
77,Employee_77,23.0,Male,Mumbai,Engineering,69029.0,1,2025,4.9
78,Employee_78,38.0,Male,Hyderabad,Engineering,135125.0,16,2010,5.0
79,Employee_79,40.0,Non-Binary,Mumbai,Engineering,138190.0,18,2008,3.0
80,Employee_80,27.0,Female,Hyderabad,Engineering,74703.0,3,2023,2.6
81,Employee_81,34.0,Female,Hyderabad,Engineering,115575.0,12,2014,3.2
82,Employee_82,40.0,Male,Mumbai,Engineering,132539.0,18,2008,4.9
83,Employee_83,23.0,Female,Pune,Operations,55132.0,1,2025,4.2
84,Employee_84,40.0,Female,Hyderabad,Engineering,139026.0,18,2008,4.0
85,Employee_85,37.0,Female,Hyderabad,Product,102124.0,13,2013,3.5
86,Employee_86,34.0,Non-Binary,Mumbai,Security,102140.0,11,2015,3.5
87,Employee_87,26.0,Female,Delhi,Operations,63344.0,2,2024,2.8
88,Employee_88,28.0,Female,Bangalore,Engineering,89860.0,5,2021,4.8
89,Employee_89,41.0,Female,Pune,Data Platform,144456.0,19,2007,3.6
90,Employee_90,24.0,Female,Hyderabad,Engineering,68976.0,1,2025,3.4
91,Employee_91,26.0,Female,Pune,Engineering,84154.0,3,2023,4.6
92,Employee_92,41.0,Female,Mumbai,Data Platform,127719.0,17,2009,2.6
93,Employee_93,42.0,Female,Pune,Security,131342.0,19,2007,4.0
94,Employee_94,39.0,Female,Pune,Operations,112002.0,15,2011,4.8
95,Employee_95,32.0,Female,Mumbai,Product,92730.0,10,2016,4.9
96,Employee_96,42.0,Female,Hyderabad,Engineering,151223.0,20,2006,5.0
97,Employee_97,40.0,Female,Bangalore,Product,121234.0,16,2010,3.8
98,Employee_98,38.0,Male,Mumbai,Product,116687.0,16,2010,4.7
99,Employee_99,41.0,Male,Pune,Product,128570.0,19,2007,2.9
100,Employee_100,23.0,Male,Bangalore,Engineering,78980.0,1,2025,3.4
1,Employee_1,31.0,Female,Hyderabad,Product,79265.0,7,2019,2.7
2,Employee_2,25.0,Male,Bangalore,Product,58685.0,3,2023,4.9
